R,X,Y,x_roon,y_roon,x_pt,y_pt
16,1,1,"8,93E-07","46,8969","1,000000893188","47,8969"
16,1,3,"8,93E-07","46,8969","1,000000893188","49,8969"
16,1,5,"8,93E-07","46,8969","1,000000893188","51,8969"
16,3,1,"8,93E-07","46,8969","3,000000893188","47,8969"
16,3,3,"8,93E-07","46,8969","3,000000893188","49,8969"
16,3,5,"8,93E-07","46,8969","3,000000893188","51,8969"
16,5,1,"8,93E-07","46,8969","5,000000893188","47,8969"
16,5,3,"8,93E-07","46,8969","5,000000893188","49,8969"
16,5,5,"8,93E-07","46,8969","5,000000893188","51,8969"
16,7,1,"8,93E-07","46,8969","7,000000893188","47,8969"
16,7,3,"8,93E-07","46,8969","7,000000893188","49,8969"
16,7,5,"8,93E-07","46,8969","7,000000893188","51,8969"
16,9,1,"8,93E-07","46,8969","9,000000893188","47,8969"
16,9,3,"8,93E-07","46,8969","9,000000893188","49,8969"
16,9,5,"8,93E-07","46,8969","9,000000893188","51,8969"
32,2,1,"12,2603","55,7044","14,2603","56,7044"
32,2,3,"12,2603","55,7044","14,2603","58,7044"
32,2,5,"12,2603","55,7044","14,2603","60,7044"
33,1,1,"9,23824","55,7044","10,23824","56,7044"
33,1,3,"9,23824","55,7044","10,23824","58,7044"
33,1,5,"9,23824","55,7044","10,23824","60,7044"
35,1,2,"9,23824","55,7044","10,23824","57,7044"
35,1,4,"9,23824","55,7044","10,23824","59,7044"
39,1,1,"29,3508","55,4183","30,3508","56,4183"
39,1,3,"29,3508","55,4183","30,3508","58,4183"
39,1,5,"29,3508","55,4183","30,3508","60,4183"
39,3,1,"29,3508","55,4183","32,3508","56,4183"
39,3,3,"29,3508","55,4183","32,3508","58,4183"
39,3,5,"29,3508","55,4183","32,3508","60,4183"
39,5,1,"29,3508","55,4183","34,3508","56,4183"
39,5,3,"29,3508","55,4183","34,3508","58,4183"
39,5,5,"29,3508","55,4183","34,3508","60,4183"
40,1,1,"15,3756","55,4183","16,3756","56,4183"
40,1,3,"15,3756","55,4183","16,3756","58,4183"
40,1,5,"15,3756","55,4183","16,3756","60,4183"
40,3,1,"15,3756","55,4183","18,3756","56,4183"
40,3,3,"15,3756","55,4183","18,3756","58,4183"
40,3,5,"15,3756","55,4183","18,3756","60,4183"
40,5,1,"15,3756","55,4183","20,3756","56,4183"
40,5,3,"15,3756","55,4183","20,3756","58,4183"
40,5,5,"15,3756","55,4183","20,3756","60,4183"
41,1,1,"8,93E-07","53,317","1,000000893","54,317"
41,1,3,"8,93E-07","53,317","1,000000893","56,317"
41,1,5,"8,93E-07","53,317","1,000000893","58,317"
41,1,7,"8,93E-07","53,317","1,000000893","60,317"
41,3,1,"8,93E-07","53,317","3,000000893","54,317"
41,3,3,"8,93E-07","53,317","3,000000893","56,317"
41,3,5,"8,93E-07","53,317","3,000000893","58,317"
41,3,7,"8,93E-07","53,317","3,000000893","60,317"
41,5,1,"8,93E-07","53,317","5,000000893","54,317"
41,5,3,"8,93E-07","53,317","5,000000893","56,317"
41,5,5,"8,93E-07","53,317","5,000000893","58,317"
41,5,7,"8,93E-07","53,317","5,000000893","60,317"
42,1,1,"8,93E-07","32,3132","1,000000893","33,3132"
42,1,3,"8,93E-07","32,3132","1,000000893","35,3132"
42,1,5,"8,93E-07","32,3132","1,000000893","37,3132"
42,1,7,"8,93E-07","32,3132","1,000000893","39,3132"
42,3,1,"8,93E-07","32,3132","3,000000893","33,3132"
42,3,3,"8,93E-07","32,3132","3,000000893","35,3132"
42,3,5,"8,93E-07","32,3132","3,000000893","37,3132"
